Name    lms_peak    lms_sigma   lms_chi2/ndf  alpha_peak (g1) alpha_sigma (g2)alpha_chi2/ndf (g3)
W242    7524.085    142.594     0.883         8705.896        3202.759        16363.479       
W243    2849.279    80.122      0.808         3296.816        1212.846        6196.650        
W244    3209.731    80.882      0.752         3713.885        1366.278        6980.565        
W245    7315.489    128.774     1.030         8464.535        3113.966        15909.822       
W246    5630.937    99.899      0.879         6515.390        2396.907        12246.236       
W247    2772.676    76.261      0.441         3208.181        1180.238        6030.052        
W248    5342.534    95.834      0.814         6181.688        2274.143        11619.015       
W249    6707.553    118.610     1.205         7761.111        2855.188        14587.677       
W250    5534.953    101.767     0.606         6404.330        2356.050        12037.490       
W251    3364.695    93.771      1.652         3893.188        1432.241        7317.582        
W252    4716.953    99.952      0.745         5457.846        2007.853        10258.491       
W253    1884.039    70.939      0.678         2179.966        801.974         4097.434        
W254    6672.560    104.749     0.744         7720.622        2840.292        14511.573       
W255    4493.969    91.920      1.100         5199.838        1912.937        9773.544        
W256    5143.275    113.591     0.850         5951.131        2189.325        11185.664       
W257    6375.686    104.630     0.654         7377.117        2713.922        13865.927       
W258    5620.623    101.217     0.350         6503.456        2392.517        12223.805       
W259    4279.741    87.731      0.758         4951.961        1821.747        9307.638        
W260    4533.110    101.546     0.529         5245.127        1929.598        9858.669        
W261    3921.875    80.777      1.628         4537.885        1669.415        8529.346        
W262    4271.027    87.876      1.740         4941.879        1818.038        9288.688        
W263    7537.996    146.941     0.386         8721.991        3208.680        16393.734       
W264    5402.822    106.420     1.313         6251.445        2299.806        11750.129       
W265    6192.495    112.852     1.080         7165.152        2635.944        13467.521       
W266    7157.188    128.188     0.912         8281.369        3046.583        15565.547       
W267    5090.562    98.729      1.499         5890.138        2166.887        11071.022       
W268    3019.525    72.821      1.528         3493.802        1285.314        6566.902        
W269    5938.215    115.361     0.740         6870.933        2527.705        12914.510       
W270    5225.749    117.854     0.784         6046.559        2224.432        11365.028       
W271    5895.833    102.664     0.960         6821.894        2509.665        12822.336       
W272    4553.100    84.819      1.110         5268.256        1938.107        9902.142        
W273    8178.480    131.094     1.262         9463.076        3481.314        17786.668       
W274    5938.919    101.242     0.701         6871.747        2528.005        12916.040       
W275    7189.740    122.548     1.141         8319.034        3060.438        15636.342       
W276    7493.465    128.280     0.432         8670.466        3189.725        16296.887       
W277    3875.376    90.200      1.059         4484.083        1649.622        8428.219        
W278    5877.943    109.772     0.778         6801.194        2502.050        12783.430       
W279    3328.855    79.527      0.438         3851.719        1416.985        7239.638        
W280    3785.151    84.951      0.808         4379.686        1611.216        8231.996        
W281    3640.077    79.915      0.454         4211.825        1549.463        7916.488        
W282    4742.562    95.906      0.973         5487.479        2018.755        10314.188       
W283    3494.263    78.608      0.601         4043.108        1487.394        7599.369        
W284    3132.541    78.755      1.247         3624.570        1333.421        6812.691        
W285    2581.851    69.608      0.696         2987.383        1099.010        5615.043        
W286    8249.970    121.252     1.350         9545.795        3511.744        17942.143       
W287    4143.962    83.959      1.635         4794.855        1763.950        9012.344        
W288    7676.587    132.095     0.561         8882.352        3267.674        16695.143       
W289    6095.971    102.452     1.083         7053.467        2594.857        13257.599       
W290    5783.536    107.380     1.104         6691.958        2461.863        12578.110       
W291    5861.068    142.027     0.414         6781.668        2494.866        12746.729       
W292    4997.464    105.280     0.825         5782.417        2127.258        10868.551       
W293    4319.861    93.527      1.023         4998.382        1838.824        9394.891        
W294    3106.452    101.219     1.169         3594.384        1322.316        6755.954        
W295    7368.067    119.055     0.925         8525.372        3136.347        16024.171       
W296    5255.835    104.166     1.362         6081.371        2237.238        11430.459       
W297    7552.622    123.583     0.829         8738.915        3214.906        16425.543       
W298    5116.672    96.898      1.029         5920.350        2178.001        11127.808       
W299    6574.133    105.759     1.122         7606.734        2798.395        14297.513       
